37	эээ	эээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1924.362#1924.806
38	на	на	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1924.806#1925.25
39	данном	данный	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1925.25#1925.694
40	уровне	уровень	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1925.694#1926.138
41	развития	развитие	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1926.138#1926.582
42	для	для	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1926.582#1927.026
43	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1927.026#1927.47
44	счастье	счастье	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1927.47#1927.914
45	это	это	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1927.914#1928.364
46	заниматься	заниматься	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1928.859#1929.301
47	музыкой	музыка	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1929.301#1929.743
48	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1930.075#1930.34
49	прямо	прямо	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1930.34#1930.605
50	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1930.605#1930.87
51	ну	ну	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1930.87#1931.135
52	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1931.135#1931.4
53	балдею	балдеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1931.4#1931.665
54	очень	очень	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1931.665#1931.93
55	жёстко	жёстко	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1931.93#1932.195
56	и	и	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1932.195#1932.462
57	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1932.88#1933.144
58	как	как	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1933.144#1933.408
59	бы	бы	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1933.408#1933.672
60	стараюсь	стараться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1933.672#1933.936
61	это	этот	PRON	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1933.936#1934.202
62	аа	аа	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1935.515#1935.868
63	так	так	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1935.868#1936.221
64	это	этот	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1936.221#1936.574
65	самое	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1936.574#1936.929
66	аа	аа	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1937.846#1938.2
67	направить	направить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1939.364#1939.724
68	на	на	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1939.724#1940.084
69	то	тот	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1940.084#1940.444
70	чтобы	чтобы	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1940.444#1940.804
71	принести	принести	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1940.804#1941.164
72	людям	человек	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1941.164#1941.524
73	какую-то	какой-то	PRON	_	Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1941.524#1941.884
74	пользу	польза	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1941.884#1942.244
75	уээ	уээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1942.244#1942.604
76	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1942.604#1942.964
77	потому	потому	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1942.964#1943.324
78	что	что	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1943.324#1943.691
79	вот	вот	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1944.149#1944.506
80	эта	этот	DET	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1944.506#1944.863
81	вот	вот	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1944.863#1945.22
82	психика	психика	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1945.22#1945.577
83	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1945.577#1945.934
84	которая	который	PRON	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1945.934#1946.291
85	между	между	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1946.291#1946.648
86	крайностями	крайность	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1946.648#1947.005
87	мечется	метаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1947.005#1947.362
88	и	и	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1947.362#1947.719
89	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1947.719#1948.076
90	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1948.076#1948.433
91	вот	вот	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1948.433#1948.79
92	эти	этот	DET	_	Animacy=Inan|Case=Nom|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1948.79#1949.147
93	э	э	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1949.147#1949.504
94	гиперэмоции	гиперэмоция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1949.504#1949.861
95	которые	который	PRON	_	Case=Acc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1949.861#1950.218
96	у	у	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1950.218#1950.575
97	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1950.575#1950.932
98	возникают	возникать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1950.932#1951.304
99	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1952.457#1952.874
100	со	с	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1952.874#1953.291
101	временем	время	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1953.291#1953.708
102	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1953.708#1954.125
103	научился	научиться	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1954.125#1954.542
104	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1954.542#1954.959
105	нашёл	найти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1954.959#1955.376
106	определённый	определённый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1955.376#1955.793
107	механизм	механизм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1955.793#1956.21
108	как	как	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1956.21#1956.627
109	справляться	справляться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1956.627#1957.044
110	с	с	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1957.044#1957.461
111	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1957.461#1957.878
112	беспокойствами	беспокойство	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1957.878#1958.295
113	и	и	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1958.295#1958.725
114	эти	этот	DET	_	Animacy=Inan|Case=Nom|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1960.3#1960.619
115	механизмы	механизм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1960.619#1960.938
116	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1960.938#1961.257
117	оружие	оружие	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1961.257#1961.576
118	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1961.576#1961.895
119	так	так	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1961.895#1962.214
120	скажем	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1962.214#1962.533
121	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1962.533#1962.852
122	против	против	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1962.852#1963.171
123	уныния	уныние	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1963.171#1963.49
124	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1963.49#1963.809
125	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1963.809#1964.128
126	встраиваю	встраивать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1964.128#1964.447
127	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1964.447#1964.766
128	песни	песня	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1964.766#1965.085
129	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1965.085#1965.404
130	и	и	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1965.404#1965.738
131	когда	когда	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1966.959#1967.275
132	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1967.275#1967.591
133	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1967.591#1967.907
134	делал	делать	VERB	_	Aspect=Prog|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1967.907#1968.223
135	эти	этот	DET	_	Case=Acc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1968.223#1968.539
136	песни	песня	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1968.539#1968.855
137	[нрзб]	[нрзб]	X	_	_	_	_	_	@mr1989m-words#@mr1989m#1968.855#1969.171
138	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1969.171#1969.487
139	слушаю	слушать	VERB	_	Aspect=Prog|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1969.487#1969.803
140	их	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	_	_	@mr1989m-words#@mr1989m#1969.803#1970.119
141	когда	когда	PRON	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1970.119#1970.435
142	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#1970.435#1970.751
143	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#1970.751#1971.067
144	отзываются	отзываться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#1971.067#1971.383
145	об	о	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#1971.383#1971.699
146	этом	этот	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1971.699#1972.015
147	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#1972.015#1972.331
148	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#1972.331#1972.647
149	получаю	получать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1972.647#1972.963
150	удовольствие	удовольствие	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#1972.963#1973.279
151	вот	вот	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#1973.279#1973.595
152	так	так	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#1973.595#1973.911
153	скажем	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#1973.911#1974.248
154	вот	вот	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#2001.023#2001.319
155	смотри	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2001.319#2001.616
156	во-первых	во-первых	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#2001.977#2002.186
157	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2002.395#2002.604
158	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2002.604#2002.813
159	пе...	первый	NUM	_	_	_	_	_	@mr1989m-words#@mr1989m#2002.813#2003.022
160	ааа	ааа	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2003.022#2003.231
161	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2003.231#2003.44
162	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2003.44#2003.649
163	первый	первый	NUM	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2003.649#2003.858
164	раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2003.858#2004.067
165	слышу	слышать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2004.067#2004.278
166	если	если	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2004.74#2004.97
167	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mr1989m-words#@mr1989m#2004.97#2005.2
168	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2005.2#2005.43
169	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2005.43#2005.66
170	расскажешь	рассказать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2005.66#2005.892
171	если	если	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2007.612#2007.895
172	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mr1989m-words#@mr1989m#2007.895#2008.178
173	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2008.178#2008.461
174	расскажешь	рассказать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2008.461#2008.744
175	ээ	ээ	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2008.744#2009.027
176	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2009.027#2009.31
177	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2009.31#2009.593
178	фи...	философия	NOUN	_	_	_	_	_	@mr1989m-words#@mr1989m#2009.593#2009.876
179	э	э	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2009.876#2010.159
180	философию	философия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2010.159#2010.442
181	их	их	DET	_	Case=Gen|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#2010.442#2010.725
182	ааа	ааа	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2010.725#2011.008
183	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2011.008#2011.291
184	десяти	десять	NUM	_	Case=Loc	_	_	_	@mr1989m-words#@mr1989m#2011.291#2011.574
185	словах	слово	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#2011.574#2011.857
186	описать	описать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2011.857#2012.145
187	то	то	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2012.56#2012.794
188	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2012.794#2013.028
189	скажу	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2013.028#2013.262
190	как	как	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2013.262#2013.496
191	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2013.496#2013.73
192	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2013.73#2013.964
193	к	к	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2013.964#2014.198
194	этому	этот	DET	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2014.198#2014.432
195	отношусь	относиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#2014.432#2014.666
196	#смеётся#	#смеётся#	X	_	_	_	_	_	@mr1989m-words#@mr1989m#2014.666#2014.909
197	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2022.326#2022.76
198	пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@mr1989m-words#@mr1989m#2022.76#2023.194
199	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2023.194#2023.628
200	традиционалистски	традиционалистски	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#2023.628#2024.062
201	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2024.062#2024.496
202	года	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2024.496#2024.93
203	три	три	NUM	_	Case=Nom	_	_	_	@mr1989m-words#@mr1989m#2024.93#2025.364
204	ааа	ааа	INTJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2025.364#2025.798
205	но	но	CCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2025.798#2026.232
206	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2026.232#2026.666
207	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mr1989m-words#@mr1989m#2026.666#2027.1
208	понял	понять	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2027.1#2027.534
209	что	что	SCONJ	_	_	_	_	_	@mr1989m-words#@mr1989m#2027.534#2027.977
210	крайность	крайность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2028.84#2029.113
211	в	в	ADP	_	_	_	_	_	@mr1989m-words#@mr1989m#2029.113#2029.386
212	этом	этот	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2029.386#2029.659
213	тоже	тоже	ADV	_	_	_	_	_	@mr1989m-words#@mr1989m#2029.659#2029.932
214	#смеётся#	#смеётся#	X	_	_	_	_	_	@mr1989m-words#@mr1989m#2029.932#2030.205
215	не	не	PART	_	_	_	_	_	@mr1989m-words#@mr1989m#2030.205#2030.478
216	очень	очень	ADV	_	Degree=Pos	_	_	_	@mr1989m-words#@mr1989m#2030.478#2030.751
217	хорошая	хороший	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@mr1989m-words#@mr1989m#2030.751#2031.027
218	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@mr1989m-words#@mr1989m#2031.414#2031.748
219	которые	который	PRON	_	Case=Nom	_	_	_	@mr1989m-words#@mr1989m#2031.748#2032.082
220	/	/	PUNCT	_	_	_	_	_	@mr1989m-words#@mr1989m#2032.082#2032.416
221	жили	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mr1989m-words#@mr1989m#2032.416#2032.75
